University Name ,"University Response (As of May 20, 2024)",Anti-BDS State Laws,Type,Links: 
Arizona State U.,NA,Yes  ,Public ,https://news.arizona.edu/news/message-president-robbins-april-29-30-campus-demonstrations
Brown U.,F,Yes,Private,https://www.browndailyherald.com/article/2024/04/brown-university-to-vote-on-divestment-at-october-corporation-meeting-encampment-to-be-voluntarily-cleared
California State Polytechnic U.-Humboldt,R,Yes,Public ,https://www.humboldt.edu/emergency
California State U. at Los Angeles,R,Yes,Public,"https://www.calstate.edu/csu-system/news/Pages/CSU-Statement-on-Divestment.aspx#:~:text=%22In%20light%20of%20its%20fiduciary,or%20the%20Israel%2DHamas%20conflict.     https://www.sgvtribune.com/2024/05/16/cal-state-la-president-meets-with-student-protesters-signals-support-for-financial-transparency/"
California State U. at Northridge,R,Yes,Public,"https://www.calstate.edu/csu-system/news/Pages/CSU-Statement-on-Divestment.aspx#:~:text=%22In%20light%20of%20its%20fiduciary,or%20the%20Israel%2DHamas%20conflict."
Case Western Reserve U. (Ohio),R,Yes,Private,https://case.edu/president/speeches-statements/supporting-informed-debate-rejecting-hate-nov-9-2022
Chapman University,F,Yes,Private,https://www.ocregister.com/2024/05/16/chapman-university-and-students-reach-agreement-gaza-solidarity-encampment-to-dismantle/
City University of New York,R,Yes,Public,"https://www.cuny.edu/about/administration/offices/transformation/diversity-equity-and-inclusion-hub/combating-antisemitism/#:~:text=Some%20resolutions%20adopted%20by%20CUNY,University%20and%20has%20denounced%20them."
Columbia U.,R,Yes,Private,https://president.columbia.edu/news/statement-columbia-university-president-minouche-shafik-4-29
Cornell U.,NA,Yes ,Private,https://www.timesofisrael.com/pro-palestinian-cornell-students-dismantle-protest-camp-on-their-own/
Dartmouth College,F,Yes,Private,https://home.dartmouth.edu/news/2024/03/path-forward
Emerson College,R,No,Private,https://today.emerson.edu/2024/05/06/a-letter-to-the-community-from-president-bernhardt/
Emory U.,R,Yes,Private,"https://emorywheel.com/fenves-answers-questions-at-student-webinar-in-wake-of-protests-says-he-has-no-plans-to-divest-from-israel/#:~:text=Fenves%20said%20that%20Emory%20is,leaders%20decided%20on%20its%20construction."
Evergreen State College,F,No,Public,https://www.evergreen.edu/sites/default/files/2024-05/2024-04-30-mou-scanned-with-signatures.pdf
Fashion Institute of Technology ,NA,Yes,Public,https://archive.is/dpcgr
Fordham U. (New York),N,Yes,Private,https://now.fordham.edu/university-news/protest-at-lincoln-center-campus/
George Washington U.,R,No,Private,https://www.dcnewsnow.com/news/local-news/washington-dc/george-washington-university-rejects-pro-palestine-protesters-demands-to-divest-from-israel/
Harvard U.,N,No,Private,https://www.theguardian.com/education/article/2024/may/14/harvard-gaza-encampment-ends
Indiana U. at Bloomington,NA,Yes,Public,
John Hopkins U. (Maryland),F,Yes,Private,https://sg.news.yahoo.com/johns-hopkins-university-strikes-deal-034412734.html
Kennesaw State U. (Georgia),NA,Yes,Public,https://www.instagram.com/kstateydsa/
Massachusetts Institute of Technology,R,No,Private,https://chancellor.mit.edu/faq-campus-events
Miami University,N,Yes,Public,https://www.wcpo.com/news/education/higher-education/miami-u-news/pro-palestine-encampment-at-miami-university-disperses-to-avoid-suspensions
Michigan State U.,R*,Yes,Public,https://www.bridgemi.com/talent-education/u-m-board-chair-body-bag-protest-my-home-over-israel-unacceptable
Middlebury College (Vermont),N,No,Private,https://www.middlebury.edu/announcements/announcements/2024/05/commitment-common-educational-values
New York U.,N,Yes,Private,https://nyunews.com/news/2024/04/25/israel-divertment-protests-continue/
Northeastern U.,R,No,Private,https://news.northeastern.edu/israel-hamas-response-protest-safety/
Northern Arizona U.,R,Yes,Public,https://news.nau.edu/encampment/
Northwestern U. ( Illinois),F,Yes,Private,https://truthout.org/articles/northwestern-university-agrees-to-full-disclosure-of-israeli-investments/
Oberlin College,F,Yes,Private,https://oberlinreview.org/32453/news/oberlin-students-for-a-free-palestine-meet-with-board-of-trustees-discuss-divestment-from-israel/
Occidental College (California),F,Yes,Private,https://theoccidentalnews.com/news/2024/05/02/occidental-administration-agrees-to-bring-divestment-proposal-to-board-of-trustees-in-june/2912460
